AC_Name,Zone,Ward_No,WardName,TotalPop,Area_sq_km,Pop_density,Ventilation_quality,percent_land_cover_in_greenery,green_land,percent_land_cover_in_water_bodies,water_area,percent_land_cover_in_buildings,buildings_area,percent_land_with_informal_growth_signature,planned_to_unplanned_ratio_index,building_footprint_size_index,narrow_street_density_index,major_roads_highways_density_index,area z score,pop density z score,Ventilation z score,Greenery z score,Water z score,Buildings z score,P/U Ratio z score,Footprint z score,Narrow Street z score,Major Roads z score
BAWANA,Narela,30,BAWANA,64013,17.549,3648,6.69706,34,5.96666,7,1.22843,59,10.35391,28,68,64,39,61,1.122534704,-1.392001423,-1.187069659,0.342765831,0.845500678,-0.387301727,0.848861525,1.378111395,-0.778540761,1.110954807
BAWANA,Narela,31,NANGAL THAKRAN,57612,60.973,945,7.0608125,83,50.60759,1,0.60973,13,7.92649,14,8,18,22,21,5.20136442,-1.539886716,-1.137134847,2.903059386,-0.416440632,-2.605414205,-1.299792352,-1.195497089,-1.452842419,-0.848132429
MUNDKA,Narela,32,KANJHAWALA,40467,35.186,1150,5.7593,72,25.33392,1,0.35186,18,6.33348,21,9,22,22,24,2.779183555,-1.52867085,-1.315802437,2.328299608,-0.416440632,-2.364315023,-1.263981454,-0.971705047,-1.452842419,-0.701200886
MUNDKA,Narela,33,RANI KHERA,16394,25.324,647,12.72986,58,14.68792,1,0.25324,28,7.09072,62,18,27,31,22,1.852842852,-1.556190754,-0.35890563,1.596787164,-0.416440632,-1.882116658,-0.941683373,-0.691964994,-1.095859189,-0.799155248
MUNDKA,Narela,34,NANGLOI,71856,13.01,5523,21.62375,12,1.5612,1,0.1301,87,11.3187,84,13,26,84,22,0.696185033,-1.289417285,0.86201994,-0.806753724,-0.416440632,0.962853695,-1.120737862,-0.747913005,1.006375392,-0.799155248
MUNDKA,Narela,35,MUNDKA,50839,21.77,2335,3.639375,33,7.1841,0,0,64,13.9328,31,48,71,42,54,1.519014536,-1.463837675,-1.60681915,0.290514942,-0.626764184,-0.146202544,0.132643566,1.769747469,-0.659546351,0.76811454
MUNDKA,Narela,36,NILOTHI,79992,4.243,18853,21.321,16,0.67888,1,0.04243,70,2.9701,71,12,23,32,21,-0.127301981,-0.560112456,0.820459361,-0.597750169,-0.416440632,0.143116475,-1.15654876,-0.915757036,-1.056194385,-0.848132429
KIRARI,Rohini,37,KIRARI,57703,1.756,32860,23.7805,8,0.14048,1,0.01756,89,1.56284,84,16,22,84,14,-0.360906658,0.206232087,1.158091875,-1.01575728,-0.416440632,1.059293368,-1.013305168,-0.971705047,1.006375392,-1.190972695
KIRARI,Rohini,38,PREM NAGAR,63337,1.095,57842,22.12955,16,0.1752,3,0.03285,78,0.8541,81,19,23,81,18,-0.422994592,1.573035781,0.931454591,-0.597750169,0.004206471,0.528875167,-0.905872475,-0.915757036,0.887380982,-0.995063972
KIRARI,Rohini,39,MUBARIKPUR,81734,3.172,25767,19.23038,26,0.82472,4,0.12688,68,2.15696,71,28,29,72,32,-0.227901342,-0.181836867,0.533465547,-0.07524128,0.214530023,0.046676802,-0.583574393,-0.580068973,0.530397751,-0.309383439
KIRARI,Rohini,40,NITHARI,63982,3.976,16092,13.11084,46,1.82896,7,0.27832,51,2.02776,49,51,42,44,54,-0.152381374,-0.711171018,-0.30660588,0.969776498,0.845500678,-0.773060419,0.24007626,0.147255164,-0.580216744,0.76811454
KIRARI,Rohini,41,AMAN VIHAR,78962,2.113,37370,24.8057125,7,0.14791,0,0,90,1.9017,88,8,21,91,12,-0.327373538,0.452981132,1.298829859,-1.068008169,-0.626764184,1.107513204,-1.299792352,-1.027653057,1.284029016,-1.288927057
SULTANPUR MAJRA,Rohini,42,MANGOL PURI,68404,1.932,35406,10.16,14,0.27048,0,0,84,1.62288,21,79,41,33,64,-0.344374924,0.345527668,-0.711688022,-0.702251947,-0.626764184,0.818194186,1.242781402,0.091307153,-1.016529582,1.257886349
SULTANPUR MAJRA,Rohini,43,SULTANPURI-A,74003,1.314,56319,20.58575,9,0.11826,2,0.02628,89,1.16946,67,34,27,74,24,-0.402423855,1.489710106,0.719526527,-0.963506391,-0.206117081,1.059293368,-0.368709005,-0.691964994,0.609727358,-0.701200886
SULTANPUR MAJRA,Rohini,44,SULTANPURI-B,72975,1.684,43334,23.62845,3,0.05052,1,0.01684,94,1.58296,82,21,22,87,17,-0.367669641,0.779280757,1.137218923,-1.277011724,-0.416440632,1.30039255,-0.834250679,-0.971705047,1.125369802,-1.044041153
NANGLOI JAT,Rohini,45,JAWALAPURI,80685,1.546,52190,14.395645,27,0.41742,17,0.26282,56,0.86576,32,71,42,59,38,-0.380632023,1.263806157,-0.130231844,-0.022990391,2.948736194,-0.531961236,0.956294219,0.147255164,0.014755307,-0.015520354
NANGLOI JAT,Rohini,46,NANGLOI JAT,64870,2.044,31737,24.71895,7,0.14308,0,0,93,1.90092,91,12,19,92,16,-0.33385473,0.144791027,1.286919373,-1.068008169,-0.626764184,1.252172714,-1.15654876,-1.139549078,1.323693819,-1.093018334
NANGLOI JAT,Rohini,47,NIHAL VIHAR,52919,1.393,37989,23.0584625,7,0.09751,0,0,93,1.29549,86,17,23,86,17,-0.39500336,0.486847576,1.058972811,-1.068008169,-0.626764184,1.252172714,-0.97749427,-0.915757036,1.085704999,-1.044041153
NANGLOI JAT,Rohini,48,GURU HARKISHAN NAGAR,62946,3.938,15984,19.25775,12,0.47256,0,0,86,3.38668,59,42,32,76,26,-0.155950725,-0.717079864,0.537222815,-0.806753724,-0.626764184,0.914633858,-0.082221822,-0.412224942,0.689056965,-0.603246525
MANGOL PURI,Rohini,49,MANGOLPURI-A,78867,1.488,53002,14.0826,14,0.20832,2,0.02976,83,1.23504,23,73,28,49,51,-0.386079981,1.308231927,-0.173205688,-0.702251947,-0.206117081,0.769974349,1.027916015,-0.636016984,-0.381892727,0.621182998
MANGOL PURI,Rohini,50,MANGOLPURI-B,81344,1.446,56254,12.3554,22,0.31812,0,0,76,1.09896,19,78,37,47,54,-0.390025054,1.486153855,-0.410310335,-0.284244835,-0.626764184,0.432435494,1.206970505,-0.132484889,-0.461222334,0.76811454
MANGOL PURI,Rohini,51,ROHINI-C,71696,2.358,30405,5.8821,38,0.89604,1,0.02358,59,1.39122,9,88,61,32,68,-0.304360613,0.071915256,-1.298944835,0.551769387,-0.416440632,-0.387301727,1.565079484,1.210267364,-1.056194385,1.453795073
ROHINI,Rohini,52,ROHINI-F,81298,2.101,38695,6.6186875,33,0.69333,0,0,63,1.32363,11,92,58,34,63,-0.328500702,0.525473923,-1.197828392,0.290514942,-0.626764184,-0.194422381,1.708323076,1.042423332,-0.976864778,1.208909168
ROHINI,Rohini,53,ROHINI-E,66795,2.698,24757,8.29765,28,0.75544,0,0,72,1.94256,16,84,54,42,62,-0.272424308,-0.237095523,-0.96734564,0.029260498,-0.626764184,0.239556148,1.421835892,0.81863129,-0.659546351,1.159931988
ROHINI,Rohini,54,ROHINI-D,80948,4.822,16787,6.84013,24,1.15728,4,0.19288,71,3.42362,16,81,57,37,59,-0.072916333,-0.673146497,-1.167429454,-0.179743058,0.214530023,0.191336311,1.314403198,0.986475322,-0.857870368,1.013000445
SHALIMAR BAGH,Keshavpuram,55,SHALIMAR BAGH-A,61220,3.342,18318,5.999325,29,0.96918,2,0.06684,68,2.27256,12,92,59,29,52,-0.211933189,-0.589383129,-1.282852551,0.081511387,-0.206117081,0.046676802,1.708323076,1.098371343,-1.175188795,0.670160179
SHALIMAR BAGH,Keshavpuram,56,SHALIMAR BAGH-B,72416,3.036,23852,7.48435,23,0.69828,2,0.06072,74,2.24664,13,83,53,34,48,-0.240675864,-0.286609467,-1.078992936,-0.231993947,-0.206117081,0.335995821,1.386024994,0.76268328,-0.976864778,0.474251455
SHALIMAR BAGH,Keshavpuram,57,PITAM PURA,80594,3.948,20414,4.00325,34,1.34232,0,0,63,2.48724,6,96,67,26,59,-0.155011422,-0.474707741,-1.556867522,0.342765831,-0.626764184,-0.194422381,1.851566668,1.545955427,-1.294183206,1.013000445
SHAKUR BASTI,Keshavpuram,58,SARASWATI VIHAR,63630,4.139,15373,5.5861,21,0.86919,2,0.08278,76,3.14564,11,89,58,28,53,-0.137070733,-0.750508615,-1.339578794,-0.336495724,-0.206117081,0.432435494,1.600890382,1.042423332,-1.214853599,0.719137359
SHAKUR BASTI,Keshavpuram,59,PASCHIM VIHAR,67423,3.156,21363,7.47385,26,0.82056,1,0.03156,71,2.24076,17,86,54,37,54,-0.229404227,-0.42278649,-1.080434343,-0.07524128,-0.416440632,0.191336311,1.493457688,0.81863129,-0.857870368,0.76811454
SHAKUR BASTI,Keshavpuram,60,RANI BAGH,66602,5.034,13230,11.2466,22,1.10748,0,0,78,3.92652,41,51,47,49,63,-0.053003107,-0.867755445,-0.562522952,-0.284244835,-0.626764184,0.528875167,0.24007626,0.426995216,-0.381892727,1.208909168
TRI NAGAR,Keshavpuram,61,KOHAT ENCLAVE,66252,2.674,24776,4.04945,29,0.77546,2,0.05348,69,1.84506,3,93,67,27,58,-0.274678635,-0.236056004,-1.550525329,0.081511387,-0.206117081,0.094896638,1.744133974,1.545955427,-1.254518402,0.964023264
TRI NAGAR,Keshavpuram,62,SHAKUR PUR,71833,2.521,28494,22.184875,11,0.27731,0,0,88,2.21848,82,17,22,79,39,-0.289049972,-0.032638498,0.939049435,-0.859004613,-0.626764184,1.011073531,-0.97749427,-0.971705047,0.808051375,0.033456827
TRI NAGAR,Keshavpuram,63,TRI NAGAR,69013,1.429,48295,22.06423,7,0.10003,2,0.02858,91,1.30039,63,34,23,87,14,-0.391621869,1.050704708,0.922487665,-1.068008169,-0.206117081,1.155733041,-0.368709005,-0.915757036,1.125369802,-1.190972695
WAZIRPUR,Keshavpuram,64,KESHAV PURAM,65433,2.807,23311,6.2964925,26,0.72982,0,0,64,1.79648,14,82,54,29,48,-0.262185904,-0.31620841,-1.24205832,-0.07524128,-0.626764184,-0.146202544,1.350214096,0.81863129,-1.175188795,0.474251455
WAZIRPUR,Keshavpuram,65,ASHOK VIHAR,55773,1.939,28764,2.17244,38,0.73682,4,0.07756,48,0.93072,8,89,77,19,59,-0.343717412,-0.017866382,-1.808195427,0.551769387,0.214530023,-0.917719928,1.600890382,2.105435532,-1.57183683,1.013000445
WAZIRPUR,Keshavpuram,66,WAZIR PUR,87397,2.798,31236,9.921235,8,0.22384,0,0,86,2.40628,46,48,63,56,39,-0.263031277,0.117380545,-0.744464939,-1.01575728,-0.626764184,0.914633858,0.132643566,1.322163385,-0.104239103,0.033456827
MODEL TOWN,Keshavpuram,67,SANGAM PARK,54854,1.117,49108,17.410275,18,0.20106,2,0.02234,76,0.84892,62,41,36,63,28,-0.420928126,1.09518519,0.28360719,-0.493248391,-0.206117081,0.432435494,-0.11803272,-0.188432899,0.173414521,-0.505292163
MODEL TOWN,Keshavpuram,68,MODEL TOWN,65907,3.553,18550,4.154069,44,1.56332,13,0.46189,41,1.45673,9,94,69,24,63,-0.192113894,-0.576690052,-1.536163558,0.86527472,2.107441987,-1.255258783,1.779944872,1.657851448,-1.373512813,1.208909168
MODEL TOWN,Keshavpuram,69,KAMLA NAGAR,61009,3.088,19757,8.08016,36,1.11168,1,0.03088,62,1.91456,29,59,61,44,53,-0.235791488,-0.510653223,-0.997201991,0.447267609,-0.416440632,-0.242642217,0.526563443,1.210267364,-0.580216744,0.719137359
SADAR BAZAR,City S.P.Zone,70,SHASTRI NAGAR,78483,3.432,22868,20.660765,6,0.20592,0,0,93,3.19176,51,47,29,86,12,-0.203479461,-0.340445622,0.729824352,-1.120259058,-0.626764184,1.252172714,0.096832668,-0.580068973,1.085704999,-1.288927057
SADAR BAZAR,City S.P.Zone,71,KISHAN GANJ,74022,2.945,25135,17.7128625,14,0.4123,1,0.02945,76,2.2382,64,32,37,72,37,-0.249223522,-0.216414561,0.325145462,-0.702251947,-0.416440632,0.432435494,-0.440330801,-0.132484889,0.530397751,-0.064497535
SADAR BAZAR,City S.P.Zone,72,SADAR BAZAR,66050,1.284,51441,26.07345,3,0.03852,0,0,97,1.24548,88,13,16,92,31,-0.405241764,1.222827213,1.472860922,-1.277011724,-0.626764184,1.44505206,-1.120737862,-1.30739311,1.323693819,-0.35836062
CHANDNI CHOWK,City S.P.Zone,73,CIVIL LINES,55142,3.232,17061,17.324212,32,1.03424,23,0.74336,43,1.38976,34,60,68,45,52,-0.222265523,-0.658155535,0.271792729,0.238264053,4.210677504,-1.15881911,0.562374341,1.601903437,-0.540551941,0.670160179
CHANDNI CHOWK,City S.P.Zone,74,CHANDNI CHOWK,51672,5.336,9684,21.072328,4,0.21344,1,0.05336,87,4.64232,72,13,18,83,34,-0.024636154,-1.061762567,0.786322442,-1.224760835,-0.416440632,0.962853695,-1.120737862,-1.195497089,0.966710589,-0.211429078
CHANDNI CHOWK,City S.P.Zone,75,JAMA MASJID,46051,1.152,39975,18.43132,8,0.09216,8,0.09216,84,0.96768,88,20,23,78,43,-0.417640565,0.595504694,0.423773074,-1.01575728,1.055824229,0.818194186,-0.870061577,-0.915757036,0.768386572,0.229365551
MATIA MAHAL,City S.P.Zone,76,CHANDANI MAHAL,58169,1.134,51295,19.5213,9,0.10206,2,0.02268,72,0.81648,67,20,27,56,26,-0.41933131,1.214839328,0.57340214,-0.963506391,-0.206117081,0.239556148,-0.870061577,-0.691964994,-0.104239103,-0.603246525
MATIA MAHAL,City S.P.Zone,77,DELHI GATE,55397,2.141,25874,21.32112,43,0.92063,8,0.17128,42,0.89922,23,79,67,43,72,-0.32474349,-0.175982733,0.820475834,0.813023831,1.055824229,-1.207038947,1.242781402,1.545955427,-0.619881548,1.649703796
MATIA MAHAL,City S.P.Zone,78,BAZAR SITA RAM,57774,1.167,49506,19.3242432,6,0.07002,2,0.02334,79,0.92193,78,23,23,87,54,-0.41623161,1.116960383,0.546350795,-1.120259058,-0.206117081,0.577095003,-0.762628883,-0.915757036,1.125369802,0.76811454
BALLIMARAN,City S.P.Zone,79,BALLIMARAN,62034,1.033,60052,22.1234575,3,0.03099,0,0,86,0.88838,81,21,23,79,42,-0.428818272,1.693948285,0.930618232,-1.277011724,-0.626764184,0.914633858,-0.834250679,-0.915757036,0.808051375,0.18038837
BALLIMARAN,City S.P.Zone,80,RAM NAGAR,69121,1.218,56750,21.148,11,0.13398,1,0.01218,88,1.07184,73,24,24,77,24,-0.411441164,1.513290779,0.796710459,-0.859004613,-0.416440632,1.011073531,-0.726817985,-0.859809026,0.728721768,-0.701200886
BALLIMARAN,City S.P.Zone,81,QURAISH NAGAR,60053,2.231,26918,24.7435,3,0.06693,1,0.02231,88,1.96328,86,13,27,93,4,-0.316289762,-0.118863885,1.290289521,-1.277011724,-0.416440632,1.011073531,-1.120737862,-0.691964994,1.363358623,-1.680744504
KAROL BAGH,Karolbagh,82,PAHAR GANJ,67390,1.927,34971,17.547665,14,0.26978,1,0.01927,81,1.56087,63,33,43,73,33,-0.344844576,0.321728148,0.302467663,-0.702251947,-0.416440632,0.673534676,-0.404519903,0.203203174,0.570062555,-0.260406258
KAROL BAGH,Karolbagh,83,KAROL BAGH,66938,2.608,25666,7.29136,24,0.62592,1,0.02608,68,1.77344,23,73,59,33,63,-0.280878036,-0.187362733,-1.105486003,-0.179743058,-0.416440632,0.046676802,1.027916015,1.098371343,-1.016529582,1.208909168
KAROL BAGH,Karolbagh,84,DEV NAGAR,64451,0.959,67206,11.9352675,32,0.30688,2,0.01918,64,0.61376,39,62,48,51,51,-0.435769114,2.085354643,-0.467984818,0.238264053,-0.206117081,-0.146202544,0.633996137,0.482943227,-0.30256312,0.621182998
PATEL NAGAR,Karolbagh,85,WEST PATEL NAGAR,69686,1.243,56063,14.71271,43,0.53449,0,0,51,0.63393,52,52,44,58,32,-0.409092907,1.475703951,-0.086706146,0.813023831,-0.626764184,-0.773060419,0.275887158,0.259151185,-0.024909497,-0.309383439
PATEL NAGAR,Karolbagh,86,EAST PATEL NAGAR,44420,1.797,24719,2.901165,34,0.61098,0,0,61,1.09617,11,92,72,22,58,-0.357055516,-0.239174561,-1.708158324,0.342765831,-0.626764184,-0.290862054,1.708323076,1.82569548,-1.452842419,0.964023264
PATEL NAGAR,Karolbagh,87,RANJEET NAGAR,54256,0.972,55819,19.38579,9,0.08748,0,0,87,0.84564,71,31,42,81,32,-0.43454802,1.462354335,0.554799748,-0.963506391,-0.626764184,0.962853695,-0.476141699,0.147255164,0.887380982,-0.309383439
PATEL NAGAR,Karolbagh,88,BALJEET NAGAR,54213,1.195,45367,23.416525,16,0.1912,1,0.01195,79,0.94405,92,9,31,92,9,-0.413601562,0.890509318,1.108126518,-0.597750169,-0.416440632,0.577095003,-1.263981454,-0.468172952,1.323693819,-1.4358586
MOTI NAGAR,Karolbagh,89,KARAM PURA,72228,3.586,20142,3.097595,39,1.39854,0,0,54,1.93644,13,83,76,23,77,-0.189014194,-0.48958928,-1.681193024,0.604020275,-0.626764184,-0.628400909,1.386024994,2.049487522,-1.413177616,1.894589701
MOTI NAGAR,Karolbagh,90,MOTI NAGAR,59046,2.237,26395,15.9983375,16,0.35792,2,0.04474,80,1.7896,44,51,38,71,28,-0.31572618,-0.14747802,0.0897808,-0.597750169,-0.206117081,0.62531484,0.24007626,-0.076536878,0.490732948,-0.505292163
MOTI NAGAR,Karolbagh,91,RAMESH NAGAR,72577,2.362,30727,12.484275,13,0.30706,0,0,87,2.05494,23,74,51,62,27,-0.303984892,0.089532372,-0.392618775,-0.754502835,-0.626764184,0.962853695,1.063726913,0.650787258,0.133749717,-0.554269344
MADIPUR,West Zone,92,PUNJABI BAGH,69946,3.68,19007,3.5384,37,1.3616,12,0.4416,51,1.8768,11,92,76,28,43,-0.180184745,-0.551686878,-1.620680684,0.499518498,1.897118436,-0.773060419,1.708323076,2.049487522,-1.214853599,0.229365551
MADIPUR,West Zone,93,MADIPUR,71727,1.489,48171,15.6011,18,0.26802,0,0,78,1.16142,41,61,42,67,18,-0.385986051,1.043920477,0.035249271,-0.493248391,-0.626764184,0.528875167,0.598185239,0.147255164,0.332073734,-0.995063972
MADIPUR,West Zone,94,RAGHUBIR NAGAR,78369,1.831,42801,16.6169,21,0.38451,0,0,78,1.42818,32,68,36,72,21,-0.353861885,0.750119507,0.174695137,-0.336495724,-0.626764184,0.528875167,0.848861525,-0.188432899,0.530397751,-0.848132429
RAJOURI GARDEN,West Zone,95,VISHNU GARDEN,73302,0.9213,79564,15.323123,23,0.211899,2,0.018426,69,0.635697,56,48,56,67,37,-0.439310287,2.761479855,-0.002910548,-0.231993947,-0.206117081,0.094896638,0.132643566,0.930527311,0.332073734,-0.064497535
RAJOURI GARDEN,West Zone,96,RAJOURI GARDEN,65596,2.315,28335,14.32131,28,0.6482,3,0.06945,58,1.3427,37,68,57,36,68,-0.308399616,-0.041337632,-0.140436322,0.029260498,0.004206471,-0.435521563,0.848861525,0.986475322,-0.897535172,1.453795073
RAJOURI GARDEN,West Zone,97,CHAUKHANDI NAGAR,67284,1.321,50934,18.54324,12,0.15852,2,0.02642,79,1.04359,76,35,23,69,47,-0.401766343,1.195088462,0.439137103,-0.806753724,-0.206117081,0.577095003,-0.332898107,-0.915757036,0.411403341,0.425274274
HARI NAGAR,West Zone,98,SUBHASH NAGAR,59595,2.503,23809,10.7809875,22,0.55066,0,0,77,1.92731,18,79,51,49,28,-0.290740718,-0.288962063,-0.626440788,-0.284244835,-0.626764184,0.48065533,1.242781402,0.650787258,-0.381892727,-0.505292163
